genes,Entry,Entry Name,Protein,Gene,Organism,Status,GO-Biological process,Biological process,Molecular function,Ligand
FAM114A1,A0A3Q1NHI6,A0A3Q1NHI6_BOVIN,Toll-like receptor 6,TLR6,Bos taurus (Bovine),Reviewed,cellular response to bacterial lipopeptide Gaudet P. cellular response to diacyl bacterial lipopeptide detection of diacyl bacterial lipopeptide inflammatory response Gaudet P. innate immune response MyD88-dependent toll-like receptor signaling pathway positive regulation of interleukin-1 beta production positive regulation of NLRP3 inflammasome complex assembly toll-like receptor 6 signaling pathway toll-like receptor signaling pathway Gaudet P.,"Immunity, Inflammatory response, Innate immunity","Hydrolase, Receptor",NAD
TMEM156,F1MK95,F1MK95_BOVIN,Toll-like receptor 6,TLR6,Bos taurus (Bovine),Reviewed,cellular response to bacterial lipopeptide Gaudet P. cellular response to diacyl bacterial lipopeptide detection of diacyl bacterial lipopeptide inflammatory response Gaudet P. innate immune response MyD88-dependent toll-like receptor signaling pathway positive regulation of interleukin-1 beta production positive regulation of NLRP3 inflammasome complex assembly toll-like receptor 6 signaling pathway toll-like receptor signaling pathway Gaudet P.,"Immunity, Inflammatory response, Innate immunity","Hydrolase, Receptor",NAD
KLHL5,A0A4W2HSJ8,A0A4W2HSJ8_BOBOX,Toll-like receptor 6,TLR6,Bos taurus (Bovine),Reviewed,cellular response to bacterial lipopeptide Gaudet P. cellular response to diacyl bacterial lipopeptide detection of diacyl bacterial lipopeptide inflammatory response Gaudet P. innate immune response MyD88-dependent toll-like receptor signaling pathway positive regulation of interleukin-1 beta production positive regulation of NLRP3 inflammasome complex assembly toll-like receptor 6 signaling pathway toll-like receptor signaling pathway Gaudet P.,"Immunity, Inflammatory response, Innate immunity","Hydrolase, Receptor",NAD
WDR19,E1B7Q4,E1B7Q4_BOVIN,Toll-like receptor 6,TLR6,Bos taurus (Bovine),Reviewed,cellular response to bacterial lipopeptide Gaudet P. cellular response to diacyl bacterial lipopeptide detection of diacyl bacterial lipopeptide inflammatory response Gaudet P. innate immune response MyD88-dependent toll-like receptor signaling pathway positive regulation of interleukin-1 beta production positive regulation of NLRP3 inflammasome complex assembly toll-like receptor 6 signaling pathway toll-like receptor signaling pathway Gaudet P.,"Immunity, Inflammatory response, Innate immunity","Hydrolase, Receptor",NAD
LOC112447070,,,,,,,,,,
RFC1,P28339,DPOD1_BOVIN,DNA polymerase delta catalytic subunit,POLD1,Bos taurus (Bovine),Reviewed,"base-excision repair, gap-filling Gaudet P. cellular response to UV DNA biosynthetic process Liu L. DNA-dependent DNA replication Gaudet P. DNA replication proofreading Gaudet P. DNA synthesis involved in DNA repair error-free translesion synthesis fatty acid homeostasis nucleotide-excision repair, DNA gap filling Gaudet P.","DNA damage, DNA excision, DNA repair, DNA replication","DNA-binding, DNA-directed DNA polymerase, Exonuclease, Hydrolase, Nuclease, Nucleotidyltransferase, Transferase","4Fe-4S, Iron, Iron-sulfur, Metal-binding, Zinc"
KLB,Q3SZL0,NR1H4_BOVIN,Bile acid receptor,NR1H4,Bos taurus (Bovine),Reviewed,bile acid signaling pathway inflammatory response innate immune response,"Immunity, Inflammatory response, Innate immunity, Transcription, Transcription regulation","Activator, DNA-binding, Receptor, Repressor","Metal-binding, Zinc"
RPL9,Q3SYR7,RL9_BOVIN,60S ribosomal protein L9,RPL9,Bos taurus (Bovine),Reviewed,cytoplasmic translation Gaudet P.,,"Ribonucleoprotein, Ribosomal protein",
LIAS,Q5BIP7,LIAS_BOVIN,"Lipoyl synthase, mitochondrial",LIAS,Bos taurus (Bovine),Reviewed,inflammatory response lipoate biosynthetic process Gaudet P. neural tube closure protein lipoylation response to lipopolysaccharide response to oxidative stress,,Transferase,"4Fe-4S, Iron, Iron-sulfur, Metal-binding, S-adenosyl-L-methionine"
UGDH,P12378,UGDH_BOVIN,UDP-glucose 6-dehydrogenase,UGDH,Bos taurus (Bovine),Reviewed,carbohydrate metabolic process chondroitin sulfate biosynthetic process gastrulation with mouth forming second glycosaminoglycan biosynthetic process Gaudet P. heparan sulfate proteoglycan biosynthetic process neuron development protein hexamerization UDP-glucuronate biosynthetic process,Carbohydrate metabolism,"Allosteric enzyme, Oxidoreductase",NAD
SMIM14,Q2KIK3,SIM14_BOVIN,,,,,,,,
UBE2K,P61085,UBE2K_BOVIN,Ubiquitin-conjugating enzyme E2 K,UBE2K,Bos taurus (Bovine),Reviewed,cellular response to interferon-beta free ubiquitin chain polymerization positive regulation of peptidyl-threonine phosphorylation positive regulation of tumor necrosis factor-mediated signaling pathway positive regulation of type I interferon-mediated signaling pathway proteasome-mediated ubiquitin-dependent protein catabolic process Gaudet P. protein K48-linked ubiquitination protein polyubiquitination Gaudet P. regulation of proteasomal ubiquitin-dependent protein catabolic process,Ubl conjugation pathway,Transferase,"ATP-binding, Nucleotide-binding"
LOC112447195,,,,,,,,,,
PDS5A,O97593,SMC1A_BOVIN,Structural maintenance of chromosomes protein 1A,SMC1A,Bos taurus (Bovine),Reviewed,cell division DNA repair meiotic cell cycle mitotic sister chromatid cohesion mitotic spindle assembly response to DNA damage checkpoint signaling response to radiation stem cell population maintenance,"Cell cycle, Cell division, DNA damage, DNA repair, Meiosis, Mitosis",,"ATP-binding, Nucleotide-binding"
LOC112447155,,,,,,,,,,
N4BP2,A0A4W2EXY3,A0A4W2EXY3_BOBOX,Structural maintenance of chromosomes protein 1A,SMC1A,Bos taurus (Bovine),Reviewed,cell division DNA repair meiotic cell cycle mitotic sister chromatid cohesion mitotic spindle assembly response to DNA damage checkpoint signaling response to radiation stem cell population maintenance,"Cell cycle, Cell division, DNA damage, DNA repair, Meiosis, Mitosis",,"ATP-binding, Nucleotide-binding"
RHOH,Q0VBZ0,CSK_BOVIN,Tyrosine-protein kinase CSK,CSK,Bos taurus (Bovine),Reviewed,adaptive immune response adherens junction organization Gaudet P. negative regulation of cell population proliferation negative regulation of Golgi to plasma membrane protein transport regulation of Fc receptor mediated stimulatory signaling pathway Gaudet P.,"Adaptive immunity, Immunity","Kinase, Transferase, Tyrosine-protein kinase","ATP-binding, Magnesium, Manganese, Metal-binding, Nucleotide-binding"
TRNAG-GCC,,,,,,,,,,
CHRNA9,F1MDD1,F1MDD1_BOVIN,Tyrosine-protein kinase CSK,CSK,Bos taurus (Bovine),Reviewed,adaptive immune response adherens junction organization Gaudet P. negative regulation of cell population proliferation negative regulation of Golgi to plasma membrane protein transport regulation of Fc receptor mediated stimulatory signaling pathway Gaudet P.,"Adaptive immunity, Immunity","Kinase, Transferase, Tyrosine-protein kinase","ATP-binding, Magnesium, Manganese, Metal-binding, Nucleotide-binding"
LOC112447071,,,,,,,,,,
RBM47,F6RYN2,F6RYN2_BOVIN,Tyrosine-protein kinase CSK,CSK,Bos taurus (Bovine),Reviewed,adaptive immune response adherens junction organization Gaudet P. negative regulation of cell population proliferation negative regulation of Golgi to plasma membrane protein transport regulation of Fc receptor mediated stimulatory signaling pathway Gaudet P.,"Adaptive immunity, Immunity","Kinase, Transferase, Tyrosine-protein kinase","ATP-binding, Magnesium, Manganese, Metal-binding, Nucleotide-binding"
LOC104968867,,,,,,,,,,
KIAA1211,A0A4W2EM87,A0A4W2EM87_BOBOX,Tyrosine-protein kinase CSK,CSK,Bos taurus (Bovine),Reviewed,adaptive immune response adherens junction organization Gaudet P. negative regulation of cell population proliferation negative regulation of Golgi to plasma membrane protein transport regulation of Fc receptor mediated stimulatory signaling pathway Gaudet P.,"Adaptive immunity, Immunity","Kinase, Transferase, Tyrosine-protein kinase","ATP-binding, Magnesium, Manganese, Metal-binding, Nucleotide-binding"
AASDH,A0A4W2D8L5,A0A4W2D8L5_BOBOX,Tyrosine-protein kinase CSK,CSK,Bos taurus (Bovine),Reviewed,adaptive immune response adherens junction organization Gaudet P. negative regulation of cell population proliferation negative regulation of Golgi to plasma membrane protein transport regulation of Fc receptor mediated stimulatory signaling pathway Gaudet P.,"Adaptive immunity, Immunity","Kinase, Transferase, Tyrosine-protein kinase","ATP-binding, Magnesium, Manganese, Metal-binding, Nucleotide-binding"
PPAT,O18971,PPARG_BOVIN,Peroxisome proliferator-activated receptor gamma,PPARG,Bos taurus (Bovine),Reviewed,"activation of cysteine-type endopeptidase activity involved in apoptotic process cell differentiation Gaudet P. cell fate commitment cell maturation cellular response to insulin stimulus cellular response to low-density lipoprotein particle stimulus epithelial cell differentiation fatty acid metabolic process Gaudet P. glucose homeostasis hormone-mediated signaling pathway Gaudet P. lipoprotein transport macrophage derived foam cell differentiation monocyte differentiation negative regulation of angiogenesis negative regulation of blood vessel endothelial cell migration negative regulation of BMP signaling pathway negative regulation of cholesterol storage Gaudet P. negative regulation of gene silencing by miRNA negative regulation of inflammatory response Gaudet P. negative regulation of interferon-gamma-mediated signaling pathway negative regulation of macrophage derived foam cell differentiation negative regulation of osteoblast differentiation negative regulation of sequestering of triglyceride negative regulation of signaling receptor activity negative regulation of transcription, DNA-templated negative regulation of transcription by RNA polymerase II Gaudet P. negative regulation of vascular associated smooth muscle cell proliferation negative regulation of vascular endothelial cell proliferation peroxisome proliferator activated receptor signaling pathway positive regulation of DNA binding positive regulation of DNA-binding transcription factor activity positive regulation of fat cell differentiation positive regulation of fatty acid metabolic process Gaudet P. positive regulation of low-density lipoprotein receptor activity positive regulation of pri-miRNA transcription by RNA polymerase II positive regulation of transcription, DNA-templated positive regulation of transcription by RNA polymerase II positive regulation of vascular associated smooth muscle cell apoptotic process regulation of blood pressure regulation of circadian rhythm regulation of fat cell differentiation regulation of lipid metabolic process Gaudet P. regulation of transcription, DNA-templated regulation of transcription by RNA polymerase II response to lipid Gaudet P. retinoic acid receptor signaling pathway rhythmic process white fat cell differentiation","Biological rhythms, Transcription, Transcription regulation","Activator, DNA-binding, Receptor","Metal-binding, Zinc"
PAICS,F1MN04,F1MN04_BOVIN,Peroxisome proliferator-activated receptor gamma,PPARG,Bos taurus (Bovine),Reviewed,"activation of cysteine-type endopeptidase activity involved in apoptotic process cell differentiation Gaudet P. cell fate commitment cell maturation cellular response to insulin stimulus cellular response to low-density lipoprotein particle stimulus epithelial cell differentiation fatty acid metabolic process Gaudet P. glucose homeostasis hormone-mediated signaling pathway Gaudet P. lipoprotein transport macrophage derived foam cell differentiation monocyte differentiation negative regulation of angiogenesis negative regulation of blood vessel endothelial cell migration negative regulation of BMP signaling pathway negative regulation of cholesterol storage Gaudet P. negative regulation of gene silencing by miRNA negative regulation of inflammatory response Gaudet P. negative regulation of interferon-gamma-mediated signaling pathway negative regulation of macrophage derived foam cell differentiation negative regulation of osteoblast differentiation negative regulation of sequestering of triglyceride negative regulation of signaling receptor activity negative regulation of transcription, DNA-templated negative regulation of transcription by RNA polymerase II Gaudet P. negative regulation of vascular associated smooth muscle cell proliferation negative regulation of vascular endothelial cell proliferation peroxisome proliferator activated receptor signaling pathway positive regulation of DNA binding positive regulation of DNA-binding transcription factor activity positive regulation of fat cell differentiation positive regulation of fatty acid metabolic process Gaudet P. positive regulation of low-density lipoprotein receptor activity positive regulation of pri-miRNA transcription by RNA polymerase II positive regulation of transcription, DNA-templated positive regulation of transcription by RNA polymerase II positive regulation of vascular associated smooth muscle cell apoptotic process regulation of blood pressure regulation of circadian rhythm regulation of fat cell differentiation regulation of lipid metabolic process Gaudet P. regulation of transcription, DNA-templated regulation of transcription by RNA polymerase II response to lipid Gaudet P. retinoic acid receptor signaling pathway rhythmic process white fat cell differentiation","Biological rhythms, Transcription, Transcription regulation","Activator, DNA-binding, Receptor","Metal-binding, Zinc"
SRP72,Q2T9U1,SRP54_BOVIN,Signal recognition particle 54 kDa protein,SRP54,Bos taurus (Bovine),Reviewed,"exocrine pancreas development granulocyte differentiation neutrophil chemotaxis protein targeting to ER SRP-dependent cotranslational protein targeting to membrane, translocation Gaudet P.",,"Hydrolase, Ribonucleoprotein, RNA-binding","GTP-binding, Nucleotide-binding"
ARL9,A0A4W2FAF3,A0A4W2FAF3_BOBOX,Signal recognition particle 54 kDa protein,SRP54,Bos taurus (Bovine),Reviewed,"exocrine pancreas development granulocyte differentiation neutrophil chemotaxis protein targeting to ER SRP-dependent cotranslational protein targeting to membrane, translocation Gaudet P.",,"Hydrolase, Ribonucleoprotein, RNA-binding","GTP-binding, Nucleotide-binding"
THEGL,A0A4W2FA29,A0A4W2FA29_BOBOX,Signal recognition particle 54 kDa protein,SRP54,Bos taurus (Bovine),Reviewed,"exocrine pancreas development granulocyte differentiation neutrophil chemotaxis protein targeting to ER SRP-dependent cotranslational protein targeting to membrane, translocation Gaudet P.",,"Hydrolase, Ribonucleoprotein, RNA-binding","GTP-binding, Nucleotide-binding"
HOPX,Q27975,HS71A_BOVIN,Heat shock 70 kDa protein 1A,HSPA1A,Bos taurus (Bovine),Reviewed,cellular response to unfolded protein Gaudet P. chaperone cofactor-dependent protein refolding Gaudet P. lysosomal transport negative regulation of transcription from RNA polymerase II promoter in response to stress positive regulation of microtubule nucleation positive regulation of proteasomal ubiquitin-dependent protein catabolic process Gaudet P. protein refolding regulation of mitotic spindle assembly vesicle-mediated transport Gaudet P.,Stress response,Chaperone,"ATP-binding, Nucleotide-binding"
SPINK2,Q2TBS5,Q2TBS5_BOVIN,Heat shock 70 kDa protein 1A,HSPA1A,Bos taurus (Bovine),Reviewed,cellular response to unfolded protein Gaudet P. chaperone cofactor-dependent protein refolding Gaudet P. lysosomal transport negative regulation of transcription from RNA polymerase II promoter in response to stress positive regulation of microtubule nucleation positive regulation of proteasomal ubiquitin-dependent protein catabolic process Gaudet P. protein refolding regulation of mitotic spindle assembly vesicle-mediated transport Gaudet P.,Stress response,Chaperone,"ATP-binding, Nucleotide-binding"
RESTB,E1BCT1,E1BCT1_BOVIN,Heat shock 70 kDa protein 1A,HSPA1A,Bos taurus (Bovine),Reviewed,cellular response to unfolded protein Gaudet P. chaperone cofactor-dependent protein refolding Gaudet P. lysosomal transport negative regulation of transcription from RNA polymerase II promoter in response to stress positive regulation of microtubule nucleation positive regulation of proteasomal ubiquitin-dependent protein catabolic process Gaudet P. protein refolding regulation of mitotic spindle assembly vesicle-mediated transport Gaudet P.,Stress response,Chaperone,"ATP-binding, Nucleotide-binding"
NOA1,Q32LB9,NOA1_BOVIN,Nitric oxide-associated protein 1,NOA1,Bos taurus (Bovine),Reviewed,apoptotic process mitochondrial translation regulation of cell death regulation of cellular respiration,Apoptosis,,"GTP-binding, Nucleotide-binding"
POLR2B,A5PJW8,A5PJW8_BOVIN,Nitric oxide-associated protein 1,NOA1,Bos taurus (Bovine),Reviewed,apoptotic process mitochondrial translation regulation of cell death regulation of cellular respiration,Apoptosis,,"GTP-binding, Nucleotide-binding"
IGFBP7,Q58CS7,CHMP3_BOVIN,Charged multivesicular body protein 3,CHMP3,Bos taurus (Bovine),Reviewed,endosome transport via multivesicular body sorting pathway Gaudet P. late endosome to vacuole transport Gaudet P. protein transport Gaudet P.,"Protein transport, Transport",,
EPHA5,Q3ZC64,EFNA1_BOVIN,Ephrin-A1,EFNA1,Bos taurus (Bovine),Reviewed,angiogenesis aortic valve morphogenesis axon guidance Gaudet P. cell migration endocardial cushion to mesenchymal transition involved in heart valve formation ephrin receptor signaling pathway mitral valve morphogenesis negative regulation of dendritic spine morphogenesis negative regulation of epithelial to mesenchymal transition negative regulation of MAPK cascade negative regulation of proteolysis involved in cellular protein catabolic process negative regulation of thymocyte apoptotic process negative regulation of transcription by RNA polymerase II notochord formation positive regulation of amyloid-beta formation positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process positive regulation of MAPK cascade positive regulation of protein tyrosine kinase activity protein stabilization regulation of angiogenesis regulation of axonogenesis regulation of blood vessel endothelial cell migration regulation of cell adhesion mediated by integrin regulation of peptidyl-tyrosine phosphorylation substrate adhesion-dependent cell spreading,Angiogenesis,,
LOC101908113,,,,,,,,,,
CENPC,Q2TBR7,CENPS_BOVIN,Centromere protein S,CENPS,Bos taurus (Bovine),Reviewed,cell division cellular response to DNA damage stimulus DNA repair kinetochore assembly replication fork processing resolution of meiotic recombination intermediates,"Cell cycle, Cell division, DNA damage, DNA repair, Mitosis",DNA-binding,
STAP1,Q3B7M7,RMP_BOVIN,Unconventional prefoldin RPB5 interactor,URI1,Bos taurus (Bovine),Reviewed,cellular response to growth factor stimulus cellular response to steroid hormone stimulus negative regulation of intrinsic apoptotic signaling pathway negative regulation of phosphatase activity negative regulation of transcription by RNA polymerase II regulation of cell growth regulation of transcription by RNA polymerase II response to virus,"Transcription, Transcription regulation","Protein phosphatase inhibitor, Repressor",
UBA6,A6QQJ8,ZC12A_BOVIN,Ribonuclease ZC3H12A,ZC3H12A,Bos taurus (Bovine),Reviewed,"3'-UTR-mediated mRNA destabilization angiogenesis apoptotic process cell differentiation cellular response to chemokine cellular response to DNA damage stimulus cellular response to glucose starvation cellular response to interleukin-1 cellular response to ionomycin cellular response to lipopolysaccharide cellular response to oxidative stress cellular response to sodium arsenite cellular response to tumor necrosis factor cellular response to virus immune response-activating signal transduction negative regulation by host of viral genome replication negative regulation of cardiac muscle contraction negative regulation of cytokine production involved in inflammatory response negative regulation of I-kappaB kinase/NF-kappaB signaling negative regulation of interferon-gamma production negative regulation of interleukin-1 beta production negative regulation of interleukin-6 production negative regulation of muscle cell apoptotic process negative regulation of NF-kappaB transcription factor activity negative regulation of NIK/NF-kappaB signaling negative regulation of nitric oxide biosynthetic process negative regulation of production of miRNAs involved in gene silencing by miRNA negative regulation of protein phosphorylation negative regulation of T-helper 17 cell differentiation negative regulation of tumor necrosis factor production nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay Gaudet P. positive regulation of angiogenesis positive regulation of autophagy positive regulation of cell death positive regulation of defense response to virus by host positive regulation of endothelial cell migration positive regulation of execution phase of apoptosis positive regulation of fat cell differentiation positive regulation of lipid storage positive regulation of miRNA catabolic process positive regulation of mRNA catabolic process positive regulation of p38MAPK cascade positive regulation of protein deubiquitination positive regulation of protein import into nucleus positive regulation of reactive oxygen species metabolic process positive regulation of transcription by RNA polymerase II protein complex oligomerization protein deubiquitination RNA phosphodiester bond hydrolysis RNA phosphodiester bond hydrolysis, endonucleolytic T cell receptor signaling pathway","Angiogenesis, Apoptosis, Differentiation","Developmental protein, Endonuclease, Hydrolase, Nuclease","Magnesium, Metal-binding, Zinc"
GNRHR,P32236,GNRHR_BOVIN,Gonadotropin-releasing hormone receptor,GNRHR,Bos taurus (Bovine),Reviewed,G protein-coupled receptor signaling pathway Gaudet P.,,"G-protein coupled receptor, Receptor, Transducer",
LOC100140490,E1BJ94,E1BJ94_BOVIN,Gonadotropin-releasing hormone receptor,GNRHR,Bos taurus (Bovine),Reviewed,G protein-coupled receptor signaling pathway Gaudet P.,,"G-protein coupled receptor, Receptor, Transducer",
TMPRSS11BNL,A0A3Q1MRJ0,A0A3Q1MRJ0_BOVIN,Gonadotropin-releasing hormone receptor,GNRHR,Bos taurus (Bovine),Reviewed,G protein-coupled receptor signaling pathway Gaudet P.,,"G-protein coupled receptor, Receptor, Transducer",
TMPRSS11D,Q58DD0,ACE2_BOVIN,,,,,,,,
TMPRSS11A,E1BQ07,E1BQ07_BOVIN,,,,,,,,
LOC518437,E1BJM8,E1BJM8_BOVIN,,,,,,,,
TMPRSS11F,F1MSG9,F1MSG9_BOVIN,,,,,,,,
LOC613882,,,,,,,,,,
LOC100140029,,,,,,,,,,
TMPRSS11E,Q9N2I2,IPSP_BOVIN,Plasma serine protease inhibitor,SERPINA5,Bos taurus (Bovine),Reviewed,lipid transport negative regulation of endopeptidase activity Gaudet P. single fertilization,"Fertilization, Lipid transport, Transport","Heparin-binding, Protease inhibitor, Serine protease inhibitor",
LOC101903916,,,,,,,,,,
LOC112447230,,,,,,,,,,
YTHDC1,Q29RT0,RBMX_BOVIN,"RNA-binding motif protein, X chromosome",RBMX,Bos taurus (Bovine),Reviewed,"cellular response to interleukin-1 membrane protein ectodomain proteolysis mRNA processing negative regulation of mRNA splicing, via spliceosome positive regulation of mRNA splicing, via spliceosome positive regulation of transcription by RNA polymerase II protein homooligomerization regulation of alternative mRNA splicing, via spliceosome RNA splicing transcription by RNA polymerase II","mRNA processing, mRNA splicing, Transcription","Activator, Repressor, Ribonucleoprotein, RNA-binding",
LOC112447089,,,,,,,,,,
LOC104968907,,,,,,,,,,
LOC781280,,,,,,,,,,
LOC112447019,,,,,,,,,,
LOC100138004,E1BBB3,E1BBB3_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC615303,E1BJU8,E1BJU8_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC100847153,,,,,,,,,,
LOC100140261,A0A3Q1MBF3,A0A3Q1MBF3_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC540615,A0A3Q1M7T0,A0A3Q1M7T0_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC100138908,A0A3Q1LYU5,A0A3Q1LYU5_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC100138236,,,,,,,,,,
UGT2B10,F1MFF6,F1MFF6_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC104968908,,,,,,,,,,
LOC100296421,A0A3Q1LWZ2,A0A3Q1LWZ2_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC781649,,,,,,,,,,
LOC781441,,,,,,,,,,
LOC540544,A0A3Q1MIN6,A0A3Q1MIN6_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC781478,,,,,,,,,,
MGC152010,E1BCE2,E1BCE2_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC530553,A0A3Q1MJX5,A0A3Q1MJX5_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC530356,,,,,,,,,,
LOC526979,A0A3Q1NB06,A0A3Q1NB06_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC781553,,,,,,,,,,
LOC781988,A6QPD5,A6QPD5_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis mRNA splicing, via spliceosome mRNA transport negative regulation of translation nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of translation regulation of alternative mRNA splicing, via spliceosome rRNA processing","mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport","Helicase, Hydrolase, RNA-binding","ATP-binding, Nucleotide-binding"
LOC782370,,,,,,,,,,
